Category,UI surface,Data or action,Direction,Browser protocol,HTTP method,Local endpoint,Request payload or frames,Response or displayed fields,Trigger or frequency,Frontend source,Local API handler,Agent source or service method,Local browser uses MQTT,Standalone remote equivalent
Devices,Devices page,Open physical interface,Send and receive,HTTP,POST,/devices/{id}/open,Device ID in URL,Open status,When user selects Open,ui/src/pages/devices.tsx,openDeviceEndpoint,Service.OpenDevice,No,devices.open RPC
Devices,Devices page,Close physical interface,Send and receive,HTTP,POST,/devices/{id}/close,Device ID in URL,Close status,When user selects Close,ui/src/pages/devices.tsx,closeDeviceEndpoint,Service.CloseDevice,No,devices.close RPC
Devices,Devices page,Read from physical interface,Send and receive,HTTP,POST,/devices/{id}/read,"JSON: bytes",Base64 or device read data,When user selects Read,ui/src/pages/devices.tsx,readDeviceEndpoint,Service.ReadDevice using configured hardware interface,No,devices.read RPC
Devices,Devices page,Write to physical interface,Send and receive,HTTP,POST,/devices/{id}/write,"JSON: data",Number of bytes written,When user selects Write,ui/src/pages/devices.tsx,writeDeviceEndpoint,Service.WriteDevice using configured hardware interface,No,devices.write RPC
Devices,Devices page,Download device registry backup,Receive,HTTP,GET,/devices/backup,None,Device registry backup document,When user selects Backup,ui/src/pages/devices.tsx,backupDevicesEndpoint,Service.BackupDevices using local device database,No,devices.backup RPC
Devices,Devices page,Restore device registry backup,Send and receive,HTTP,POST,/devices/restore?replace={bool},Device backup JSON,Imported device count or restore error,When user uploads and confirms backup,ui/src/pages/devices.tsx,restoreDevicesEndpoint,Service.RestoreDevices using local device database,No,devices.restore RPC
Configuration,Configuration card,Complete active configuration,Receive,HTTP,GET,/config,None,"server; channels; Node-RED; log; MQTT; CoAP; transport; telemetry; terminal; OTA; provisioning fields","On page load and manual refresh",ui/src/components/config-card.tsx,viewConfigEndpoint,Service.Config,No,snapshot.get RPC with credentials redacted
Configuration,Configuration card,Replace active configuration,Send and receive,HTTP,POST,/config,"JSON configuration document",Configuration update status,When user saves configuration,ui/src/components/config-card.tsx,addConfigEndpoint,Service.AddConfig,No,No exact full-config RPC; runtime keys use config.set
Configuration,Configuration page,List remotely settable runtime values,Receive,HTTP,GET,/config/runtime,None,"log_level; heartbeat_interval; telemetry_interval; terminal_session_timeout; command_secret presence; bs_valid","On page load; refresh; after save",ui/src/pages/config.tsx,runtimeConfigGetEndpoint,Service.GetRuntimeConfig using persistent store or fallback,No,Multiple config.get RPC calls
Configuration,Configuration page,Set one runtime value,Send and receive,HTTP,POST,/config/runtime,"JSON: key; value",Save status,When user saves a runtime field,ui/src/pages/config.tsx,runtimeConfigSetEndpoint,Service.SetRuntimeConfig using persistent store and live update,No,config.set RPC
Configuration,Configuration page,Reset agent,Send and receive,HTTP,POST,/reset,"JSON: mode",Reset acceptance status,When user confirms reset,ui/src/pages/config.tsx,resetEndpoint,Service.Reset,No,reset.execute RPC
Bootstrap,Bootstrap page,Bootstrap and provisioning configuration,Receive,HTTP,GET,/config,None,"bootstrap URL; external identity; provisioning and cached configuration fields",On page load,ui/src/pages/bootstrap.tsx,viewConfigEndpoint,Service.Config,No,snapshot.get RPC with provisioning token redacted
OTA,OTA page,Current OTA operation status,Receive,HTTP,GET,/ota/status,None,"busy; state; bytes; total; progress; last_error","On load; periodic polling while active; manual refresh",ui/src/pages/ota.tsx,otaStatusEndpoint,Service.OTAStatus using in-memory OTA state,No,ota.status RPC
OTA,OTA page,Current installed agent version,Receive,HTTP,GET,/health,None,"version; commit; build_time",When checking for an update,ui/src/pages/ota.tsx,health,Agent build variables,No,health.get RPC
OTA,OTA page,Latest release metadata,Receive,External HTTPS,GET,Configured release URL,None,"release tag; assets; download URLs; release metadata",When user checks for an update,ui/src/pages/ota.tsx,External service,GitHub-compatible releases API,No,Direct external HTTPS request remains external
OTA,OTA page,Start OTA download by URL,Send and receive,HTTP,POST,/ota,"JSON: url; sha256; size",Triggered status,When user confirms URL-based update,ui/src/pages/ota.tsx,otaTriggerEndpoint,Service.OTA,No,ota.start RPC
OTA,OTA page,Upload firmware binary,Send and receive,HTTP,POST,/ota/data?sha256={hash},Raw firmware bytes,Triggered status,When user selects and uploads firmware,ui/src/pages/ota.tsx,otaDataEndpoint,Service.OTAFromData,No,Gateway HTTP upload then MQTT ota/cfg and ota binary topics
OTA,OTA page,Abort OTA operation,Send and receive,HTTP,POST,/ota/abort,None,Aborted status,When user selects Abort,ui/src/pages/ota.tsx,otaAbortEndpoint,Service.OTAAbort,No,ota.abort RPC
Logs,Logs page,Live agent process log lines,Receive,Server-Sent Events,N/A,/logs,SSE connection,Individual text log lines,Continuous while page is mounted,ui/src/pages/logs.tsx,logstream.SSEHandler,Agent internal log stream,No,Gateway events WebSocket carrying gateway/logs MQTT topic
Terminal,Terminal page,Open interactive shell,Send and receive,WebSocket,N/A,/terminal/ws,WebSocket open and close,"PTY session open; output; close",While terminal page is connected,ui/src/pages/terminal.tsx,terminalWSHandler,Local operating-system pseudo-terminal,No,Gateway terminal WebSocket bridged to MQTT term requests and responses
Terminal,Terminal page,Keyboard and paste input,Send,WebSocket,N/A,/terminal/ws,Text or binary keyboard frames,PTY consumes input,For each user input event,ui/src/pages/terminal.tsx,terminalWSHandler,Local operating-system pseudo-terminal,No,MQTT term char command
Terminal,Terminal page,Terminal resize,Send,WebSocket,N/A,/terminal/ws,"JSON: type=resize; columns; rows",PTY size updated,Whenever browser terminal dimensions change,ui/src/pages/terminal.tsx,terminalWSHandler,Local operating-system pseudo-terminal,No,MQTT term resize command
